"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2007","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","28,700",""
"2008","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","28,200",""
"2009","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","26,500",""
"2010","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","26,800",""
"2011","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","26,900",""
"2012","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","26,000",""
"2013","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","25,400",""
"2014","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","25,400",""
"2015","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","25,600",""
"2016","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","26,000",""
"2017","Italy","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","26,400",""
"1991","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,500",""
"1996","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,500",""
"1997","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,700",""
"1998","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","18,500",""
"1999","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","19,200",""
"2000","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","20,200",""
"2001","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","20,700",""
"2002","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","21,200",""
"2003","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","21,500",""
"2004","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","22,300",""
"2005","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","23,100",""
"2006","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","23,800",""
"2007","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","24,400",""
"2008","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","24,700",""
"2009","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","23,600",""
"2010","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","23,300",""
"2011","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","22,800",""
"2012","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","21,800",""
"2013","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","20,600",""
"2014","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","20,500",""
"2015","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","21,000",""
"2016","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","22,000","p"
"2017","Cyprus","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","22,700","p"
"1991","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","3,800",""
"1996","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","4,000",""
"1997","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","4,400",""
"1998","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","4,700",""
"1999","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","4,900",""
"2000","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,200",""
"2001","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,600",""
"2002","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,100",""
"2003","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,600",""
"2004","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","7,300",""
"2005","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,100",""
"2006","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,200",""
"2007","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,200",""
"2008","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,900",""
"2009","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,600",""
"2010","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,500",""
"2011","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,200",""
"2012","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,700",""
"2013","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,000",""
"2014","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,300",""
"2015","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,700",""
"2016","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,000",""
"2017","Latvia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,600",""
"1991","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","4,000",""
"1996","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","4,300",""
"1997","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","4,600",""
"1998","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,000",""
"1999","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,000",""
"2000","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,200",""
"2001","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,600",""
"2002","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,100",""
"2003","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,700",""
"2004","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","7,300",""
"2005","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,000",""
"2006","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,700",""
"2007","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,800",""
"2008","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,100",""
"2009","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,700",""
"2010","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,000",""
"2011","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,800",""
"2012","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,300",""
"2013","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,800",""
"2014","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,300",""
"2015","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,600",""
"2016","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","12,000",""
"2017","Lithuania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","12,700",""
"1991","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","56,300",""
"1996","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","56,400",""
"1997","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","58,900",""
"1998","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","61,700",""
"1999","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","65,900",""
"2000","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","70,500",""
"2001","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","71,400",""
"2002","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","73,400",""
"2003","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","73,600",""
"2004","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","75,300",""
"2005","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","76,500",""
"2006","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","79,200",""
"2007","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","84,400",""
"2008","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","81,900",""
"2009","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","76,900",""
"2010","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","79,200",""
"2011","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","79,300",""
"2012","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","77,200",""
"2013","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","78,000",""
"2014","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","79,500",""
"2015","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","81,000",""
"2016","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","80,900",""
"2017","Luxembourg","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","80,300",""
"1991","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,800",""
"1996","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,800",""
"1997","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","7,000",""
"1998","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","7,300",""
"1999","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","7,600",""
"2000","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","7,900",""
"2001","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,200",""
"2002","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,600",""
"2003","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,000",""
"2004","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,500",""
"2005","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,900",""
"2006","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,300",""
"2007","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,400",""
"2008","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,500",""
"2009","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,800",""
"2010","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,900",""
"2011","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,100",""
"2012","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,000",""
"2013","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,200",""
"2014","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,700",""
"2015","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,100",""
"2016","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,300",""
"2017","Hungary","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,800",""
"1991","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1996","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1997","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1998","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1999","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"2000","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","13,800",""
"2001","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","13,800",""
"2002","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","14,100",""
"2003","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","14,400",""
"2004","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","14,300",""
"2005","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","14,800",""
"2006","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","15,000",""
"2007","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","15,500",""
"2008","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,000",""
"2009","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","15,500",""
"2010","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","15,900",""
"2011","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,100",""
"2012","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,400",""
"2013","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,900",""
"2014","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,900",""
"2015","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","19,400",""
"2016","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","20,000",""
"2017","Malta","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","20,800",""
"1991","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","29,200",""
"1996","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","30,100",""
"1997","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","31,200",""
"1998","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","32,500",""
"1999","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","33,900",""
"2000","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","35,100",""
"2001","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","35,600",""
"2002","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","35,500",""
"2003","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","35,400",""
"2004","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","35,900",""
"2005","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","36,600",""
"2006","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","37,800",""
"2007","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","39,100",""
"2008","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","39,800",""
"2009","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","38,200",""
"2010","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","38,500",""
"2011","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","38,900",""
"2012","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","38,300",""
"2013","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","38,200",""
"2014","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","38,600",""
"2015","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","39,200",""
"2016","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","39,800","p"
"2017","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","40,700","p"
"1991","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","27,600",""
"1996","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","28,200",""
"1997","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","28,800",""
"1998","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","29,800",""
"1999","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","30,800",""
"2000","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","31,700",""
"2001","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","32,000",""
"2002","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","32,400",""
"2003","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","32,500",""
"2004","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","33,200",""
"2005","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","33,700",""
"2006","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","34,700",""
"2007","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","35,900",""
"2008","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","36,300",""
"2009","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","34,800",""
"2010","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","35,400",""
"2011","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","36,300",""
"2012","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","36,400",""
"2013","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","36,200",""
"2014","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","36,100",""
"2015","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","36,200",""
"2016","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","36,500",""
"2017","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","37,200",""
"1991","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,000",""
"1996","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,300",""
"1997","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,600",""
"1998","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,900",""
"1999","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,200",""
"2000","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,400",""
"2001","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,500",""
"2002","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,700",""
"2003","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,900",""
"2004","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","7,300",""
"2005","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","7,500",""
"2006","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,000",""
"2007","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,500",""
"2008","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,900",""
"2009","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,100",""
"2010","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,400",""
"2011","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,900",""
"2012","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,000",""
"2013","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,200",""
"2014","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,500",""
"2015","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","10,900",""
"2016","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,300",""
"2017","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,800",""
"1991","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","13,700",""
"1996","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","14,100",""
"1997","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","14,600",""
"1998","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","15,300",""
"1999","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","15,800",""
"2000","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,200",""
"2001","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,400",""
"2002","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,500",""
"2003","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,300",""
"2004","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,500",""
"2005","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,600",""
"2006","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,800",""
"2007","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,200",""
"2008","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,200",""
"2009","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,700",""
"2010","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,000",""
"2011","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,700",""
"2012","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,100",""
"2013","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,000",""
"2014","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,300",""
"2015","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,600",""
"2016","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,000",""
"2017","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,500","p"
"1991","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1995","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":","c"
"1996","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":","c"
"1997","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":","c"
"1998","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":","c"
"1999","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":","c"
"2000","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":","c"
"2001","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":","c"
"2002","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","4,200",""
"2003","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","4,500",""
"2004","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","4,900",""
"2005","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,100",""
"2006","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","5,600",""
"2007","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,100",""
"2008","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,700",""
"2009","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,400",""
"2010","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,200",""
"2011","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,300",""
"2012","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,500","b"
"2013","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,800",""
"2014","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","7,000",""
"2015","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","7,300",""
"2016","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","7,700",""
"2017","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","8,300","p"
"1991","Slovenia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1992","Slovenia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1993","Slovenia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
"1994","Slovenia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":",""
